"Ticker","Book Value per Share","PE ratio","PB ratio","Enterprise Value over EBITDA","returnOnEquity","assetTurnover","Dividend Yield","interestCoverage","Free Cash Flow Yield","EPS Diluted Growth","debtEquityRatio","currentRatio","Market Cap","EBITDA Margin","Profit Margin","operatingCashFlowSalesRatio","Revenue Growth","Price Variation","Class"
"AKTS",0.662,0,11.6278,0,-1.5696,0.041217415,0,-65.076,-0.1312,-0.7931,0.8278,6.002,161183450,-16.678,-17.996,-11.75496689,1.4831,-42.85714529,"0"
"AKTS",0.206,0,23.2227,0,-1.5421,0,0,13.4756,-0.0536,-0.25,0,7.714,64774529.85,NA,NA,NA,NA,-4.15384586,"0"
"AKTS",0.883,0,10.8906,0,-0.6551,0.026889646,0,5080.155,-0.0442,-0.45,0,7.418,162442889.8,-19.99,-20.212,-11.40527774,0,-25.93144915,"0"
"AKTS",NA,0,230.318,0,NA,0,0,0,-0.0169,NA,NA,1.033388979,62791319.25,NA,NA,NA,0,267.5000017,"1"
"ALLT",5.28,0,NA,NA,-0.0143,0.55030336,0,4.7076,-0.0119,0.6,0,5.121,175868560,0.018,-0.021,0.135127063,0.2138,-36.60130743,"0"
"ALLT",4.889,0,NA,NA,-0.1214,0.480114305,0,-27.2295,-0.0119,-6.375,0,4.612,175868560,-0.102,-0.198,0.041873818,-0.1469,-18.67572037,"0"
"ALLT",4.738,0,NA,NA,-0.0508,0.473284802,0,0,-0.0119,0.5932,0,5.97,175868560,-0.019,-0.088,-0.038331729,-0.096,-3.495142233,"0"
"ALLT",4.304,0,NA,NA,-0.1263,0.444340875,0,0,-0.0119,-1.25,0,4.548,175868560,-0.157,-0.22,-0.002780759,-0.0927,14.9621199,"1"
"ALLT",4.031,0,NA,NA,-0.0766,0.504819747,0,0,-0.0119,0.4259,0,3.388,205748720,-0.043,-0.109,0.01073698,0.1689,39.57306711,"1"
"ALOT",8.918,31.7674,1.5447,15.6939,0.0482,0.879790673,0.0205,0,-0.0545,-0.7083,0,6.574,102624889,0.068,0.047,-0.065051318,0.1203,-6.690297706,"0"
"ALOT",8.344,24.5902,1.751,9.4533,0.0734,1.188577963,0.0187,0,-0.007,0.4286,0,6.196,108592440,0.102,0.053,0.016876634,0.288,3.874534997,"1"
"ALOT",9.21,28.125,1.4296,10.754,0.0516,0.927137753,0.0207,13.8284,0.0167,-0.1607,0.3637,2.429,91274836.5,0.084,0.029,0.032839217,0.1519,-28.14102427,"0"
"ALOT",9.244,24.8387,1.6734,10.3219,0.0672,1.214140041,0.0182,0,0.0413,0.0167,0,5.709,113047334.4,0.095,0.048,0.081630713,0.0714,5.443693575,"1"
"ALOT",9.505,24.3158,1.4664,8.7155,0.0599,1.176692763,0.0202,0,0.0598,-0.082,0,5.125,103574047.5,0.092,0.043,0.070626117,0.04,37.44451177,"1"
"ALRM",4.183,125.2727,6.6318,53.8017,0.0531,0.999467932,0,76.6895,0.0107,1.7,0.035,4.791,1267052177,0.081,0.039,0.086554886,0.25,36.97387784,"1"
"ALRM",-53.518,73.3913,0,29.4269,-0.1108,1.383521318,0,104.6684,0.0115,2.5,-0.055,3.016,757007907.2,0.146,0.003,0.093448169,0.2848,-1.184827402,"0"
"ALRM",5.828,115.2667,8.9786,66.3455,0.0775,0.953533567,0,5.0093,0.02,-0.2712,0.2414,3.03,2489922509,0.086,0.051,0.144377803,0.2406,-17.46062219,"0"
"ALRM",7.057,0,2.3636,27.2278,0.0692,0.923894823,0,99.118,0.0232,-3.1429,0.0394,5.538,760177189,0.112,-0.035,0.134134081,0.2485,71.7901149,"1"
"ALRM",4.987,59.6984,7.6192,33.496,0.1256,0.912001098,0,15.6617,0.0264,1.8095,0.3049,3.684,1772950933,0.154,0.086,0.168724571,0.2981,37.91544294,"1"
"ALTR",-0.71,0,0,0,-0.2932,1.249082847,0,7.0494,0.0056,-0.0526,-2.4591,0.665,1526647849,0.083,0.032,0.068270336,0.065,80.80121621,"1"
"ALTR",1.155,0,23.5294,0,-1.6406,1.157924904,0,-15.8569,0.0056,-11.5,0.0068,0.729,1526647849,-0.068,-0.298,0.048273048,0.0641,-13.63823405,"0"
"ALTR",4.353,137.9,6.6286,46.1428,0.0467,1.013093266,0,136.12,0.0152,1.0952,0.1081,1.211,1939657300,0.085,0.028,0.073403083,0.4807,34.19282339,"1"
"AMAT",6.271,14.4513,2.5333,9.2583,0.1809,0.630977267,0.0245,16.5146,0.0484,0.2874,0.5966,2.438,19606115080,0.215,0.143,0.120405839,0.0647,77.60502956,"1"
"AMAT",8.713,17.4688,6.3619,13.2944,0.3673,0.748596735,0.0072,19.8434,0.0578,1.0584,0.5673,3.139,59616632524,0.298,0.236,0.26064525,0.3429,-37.27775312,"0"
"AMAT",6.476,23.9091,3.2651,12.732,0.1362,0.688629118,0.019,16.2421,0.0618,3.1429,0.2475,2.468,25635016409,0.211,0.118,0.198412698,0.2082,-23.63900323,"0"
